Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1769762634860,0.386441,7.098907,7.072586,0.558025,0.923475,1.849393
1769762634879,0.417548,6.266204,6.031109,0.591164,1.017090,1.881616
1769762634901,-0.014357,7.250851,5.682355,0.572686,1.026711,1.860694
1769762634920,1.593022,7.303493,6.128019,0.509309,1.027169,1.824042
1769762634940,1.308276,6.961319,6.847062,0.487165,0.993877,1.639408
1769762634962,2.904887,6.384649,7.532606,0.400880,0.856891,1.517541
1769762634982,2.070390,6.417551,6.425327,0.390037,0.798858,1.267239
1769762635003,0.901496,7.872985,6.096314,0.347277,0.700509,1.084743
1769762635023,1.879562,7.084549,7.390831,0.302225,0.614072,0.935539
1769762635042,1.293919,6.930811,5.973083,0.239612,0.528245,0.779311
1769762635064,1.132403,7.235298,6.884749,0.192270,0.451582,0.699898
1769762635084,-0.133400,6.323034,2.813959,0.215330,0.429591,0.574213
1769762635107,0.355334,8.565108,7.944769,0.111483,0.407294,0.589943
1769762635125,1.271187,6.905686,5.940182,0.185397,0.401949,0.589943
1769762635143,3.082554,6.810572,7.663014,0.010690,0.408974,0.595899
1769762635166,1.176072,8.201400,5.362316,0.290161,0.394924,0.417221
1769762635184,1.026521,6.923034,6.863214,0.096058,0.348346,0.427300
1769762635207,1.200001,7.455437,4.992624,0.152411,0.343917,0.412792
1769762635226,1.041476,7.749754,5.145167,0.119729,0.337350,0.420275
1769762635249,1.263410,7.271788,5.388038,0.057879,0.312915,0.398131
1769762635267,2.042872,7.338189,8.564510,-0.085979,0.239917,0.370031
1769762635290,1.760519,6.704689,6.427122,0.077885,0.324064,0.350026
1769762635309,1.488336,6.345168,5.087739,0.175318,0.324980,0.346666
1769762635329,1.323231,8.578867,3.728018,0.138972,0.307112,0.333990
1769762635348,1.534996,6.749555,8.661420,-0.044899,0.256105,0.298255
1769762635367,1.220340,7.150352,5.436493,0.151189,0.310930,0.290466
1769762635389,1.609173,7.561918,7.858029,0.048411,0.254578,0.275500
1769762635408,1.523630,6.865606,4.189234,0.003360,0.226631,0.266948
1769762635434,1.442872,7.225726,4.547559,0.023671,0.255647,0.256716
1769762635449,1.592423,8.169097,8.283952,0.081856,0.253967,0.240986
1769762635471,2.697309,6.646065,6.071787,0.123395,0.251524,0.202960
1769762635491,2.276173,7.932805,6.300302,-0.021686,0.163254,0.127976
1769762635514,3.377469,6.533004,6.370890,-0.008552,0.163101,0.063377
1769762635532,2.306681,7.323234,5.301897,-0.072235,0.142790,0.038790
1769762635551,2.541178,6.807580,6.056234,-0.005192,0.144011,-0.012828
1769762635574,2.087738,7.366903,6.340382,-0.057116,0.116981,-0.054062
1769762635592,2.270789,5.891727,6.040082,-0.053603,0.082772,-0.136986
1769762635617,2.199004,8.796615,5.456832,-0.067042,0.042455,-0.189215
1769762635633,1.671985,6.578468,7.610373,-0.311541,-0.050549,-0.255647
1769762635652,-0.530608,8.383852,6.493523,-0.089797,-0.024740,-0.340404
1769762635676,2.026123,6.605985,7.261619,-0.239459,-0.148440,-0.305585
1769762635693,4.605586,6.343971,9.955338,-0.173027,-0.139124,-0.320857
1769762635718,2.096113,7.420143,4.469194,-0.145691,-0.137750,-0.419970
1769762635735,0.346959,6.065207,7.997411,-0.198226,-0.066890,-0.384234
1769762635756,-1.109671,7.335796,4.614559,-0.011454,-0.118202,-0.390801
1769762635775,0.105284,7.682157,6.684350,-0.206778,-0.150120,-0.279165
1769762635797,-0.202792,6.874579,7.076175,-0.106596,-0.138666,-0.264504
1769762635817,0.378664,6.585048,7.369296,-0.012675,-0.041539,0.011606
1769762635835,0.161516,7.441080,6.521040,0.014355,-0.000305,0.071013
1769762635857,0.518644,7.356135,7.141977,0.100182,0.059101,0.138361
1769762635876,0.935594,7.432107,4.939384,0.091630,0.150578,0.334601
1769762635898,1.789831,7.735397,8.752347,-0.212123,0.134696,0.455858
1769762635917,2.040479,6.771688,8.051848,0.382554,0.293826,0.451429
1769762635939,0.727418,6.939186,6.453443,0.044899,0.373238,0.508850
1769762635959,0.953540,7.746165,2.333600,0.034667,0.315970,0.499382
1769762635981,2.747559,6.518049,7.287940,-0.097738,0.327729,0.469755
1769762635999,3.101696,6.531807,5.886942,0.057421,0.181580,0.182649
1769762636021,2.519642,8.244471,5.244469,-0.022297,0.143859,0.133779
1769762636039,2.219343,5.847460,7.883752,-0.106443,0.061392,0.013286
1769762636059,2.473580,7.405188,6.834500,-0.075442,0.015730,-0.085674
1769762636081,2.620739,4.615755,5.168497,-0.046273,-0.010385,-0.169210
1769762636101,2.118246,8.155337,9.070593,-0.346055,-0.178525,-0.227853
1769762636119,2.145764,5.323432,8.159525,-0.209985,-0.137445,-0.219759
1769762636142,-0.964308,6.661618,6.567700,-0.082467,-0.144011,-0.337503
1769762636160,0.090927,7.517052,6.853642,-0.083536,-0.157909,-0.229380
1769762636183,0.658624,7.385447,6.419943,-0.085827,-0.120646,-0.108887
1769762636201,0.696910,6.912266,5.341977,0.075136,-0.041386,-0.030696
1769762636220,0.346361,7.339983,7.661220,-0.159894,-0.029474,0.057879
1769762636245,0.282951,5.876174,6.574280,0.034208,0.041844,0.186619
1769762636263,0.598206,7.746763,6.715457,0.169057,0.136376,0.315359
1769762636282,0.377468,7.471589,7.103692,0.167377,0.250607,0.521526
1769762636304,0.408574,5.468198,7.657630,0.025045,0.320857,0.731663
1769762636324,0.148355,6.305088,6.166304,0.216552,0.439059,0.836885
1769762636346,-1.004985,8.522636,2.569891,0.352927,0.501062,0.944244
1769762636364,0.075972,7.604989,10.853246,-0.026420,0.483652,1.070388
1769762636383,1.756930,6.920641,7.366903,0.244040,0.653320,1.234100
1769762636406,2.502892,6.015556,6.559923,0.390495,0.751058,1.267086
1769762636424,0.835095,5.542974,8.258827,0.139430,0.945161,1.300073
1769762636448,0.573081,7.164111,4.847859,0.619570,0.893390,1.344513
1769762636465,1.450649,6.244669,6.406184,0.169210,0.890946,1.351844
1769762636487,1.568495,6.556932,9.404391,0.152258,0.996320,1.328478
1769762636507,2.017149,6.592227,5.705087,0.601091,0.943175,1.268003
1769762636528,3.129812,5.129015,6.133403,0.424246,0.921948,1.193324
