Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
14.6,-23.6053,3.9301,-26.8494,-0.674417,8.352267,4.587161,-0.089308,0.151342,0.175166,0
14.7,-23.3914,4.1952,-26.6775,-0.734237,8.430273,4.942016,0.044074,0.149081,0.063469,0
14.8,-23.1775,4.4603,-26.5057,-0.629312,8.314101,5.28754,-0.069883,0.048289,-0.031735,0
14.9,-22.9636,4.7254,-26.3339,-0.713898,8.714421,4.765307,0.009316,-0.1091,-0.200364,0
15.0,-22.7498,4.9906,-26.162,-1.022453,8.373802,4.515735,0.012248,-0.117317,-0.141141,0
15.1,-22.5359,5.2557,-25.9902,-1.438326,8.468917,4.794259,0.001344,-0.01121,0.016096,0
15.2,-22.322,5.5208,-25.8184,-1.17033,8.230951,4.584289,-0.058979,0.083322,0.14789,0
15.3,-22.1081,5.7859,-25.6465,-0.787478,8.254042,5.547281,-0.012492,0.048045,0.060628,0
15.4,-21.8943,6.051,-25.4747,-1.423281,8.755338,4.157679,0.051007,0.000993,0.020426,0
15.5,-21.6804,6.3162,-25.3029,-0.97675,8.331689,4.996214,-0.037568,0.183351,0.237046,0
15.6,-21.4665,6.5813,-25.131,-0.314656,8.107003,5.28419,-0.036224,0.217101,0.146668,0
15.7,-21.2527,6.8464,-24.9592,-0.661377,8.419027,5.051727,-0.02022,-0.116186,-0.219636,0
15.8,-21.0388,7.1115,-24.7874,-1.268316,8.409575,3.672026,0.018051,-0.132313,-0.138483,0
15.9,-20.8249,7.3767,-24.6155,-0.977707,8.468439,5.477171,-0.097403,0.055069,0.083108,0
16.0,-20.611,7.6418,-24.4437,-0.722513,8.147322,4.942495,-0.042791,0.041753,0.05342,0
16.1,-20.3972,7.9069,-24.2719,-1.314258,8.331569,5.54405,-0.129198,0.037599,0.071563,0
16.2,-20.3009,8.2271,-24.1527,-1.138027,8.135956,4.473023,-0.016005,0.188238,0.203509,0
16.3,-20.1752,8.5336,-24.0204,-0.461456,8.623374,5.101139,-0.056108,0.177975,0.134818,0
16.4,-19.9058,8.7727,-23.8237,-0.6134,8.233583,5.221618,0.016799,0.121868,-0.024618,0
16.5,-19.411,8.9061,-23.526,-0.607179,8.249256,4.9407,-0.029566,0.011851,-0.125777,0
16.6,-18.6418,8.9109,-23.1053,-0.761636,8.500742,4.558925,0.051129,-0.07309,-0.224706,0
16.7,-17.7902,8.6485,-22.6172,-0.817747,8.376823,4.733302,-0.002749,-0.206244,-0.262176,0
16.8,-16.6121,9.015,-21.6043,-1.594457,8.387442,4.791986,0.035033,-0.209649,-0.20409,0
16.9,-14.3021,8.6844,-20.4629,-1.324786,8.400243,5.284788,0.050977,-0.050335,0.06582,0
17.0,-11.9154,7.9671,-19.9591,-1.290449,8.691809,4.512744,-0.080359,0.087292,0.217865,0
17.1,-10.1575,6.3315,-20.3554,-0.672024,8.145408,5.009972,-0.012981,0.11188,0.150823,0
17.2,-8.1225,4.7484,-20.6472,-0.792982,8.308239,4.858746,-0.003574,0.040348,0.022022,0
17.3,-6.1876,3.1661,-20.9069,-1.123311,8.530772,4.848218,0.004093,0.067348,0.040042,0
17.4,-4.7445,1.6122,-21.2104,-0.914058,8.509236,4.694,-0.003848,0.012462,-0.004123,0
17.5,-4.0823,0.1389,-21.5843,-0.915733,8.252606,5.121,0.075808,0.011545,-0.024465,0
17.6,-4.3873,-1.1775,-22.006,-0.980339,8.295916,5.037011,-0.038637,-0.012645,0.006292,0
17.7,-5.7427,-2.2364,-22.4035,-0.626022,8.185697,5.485396,-0.009965,-0.04906,-0.032796,0
17.8,-8.4697,-2.0513,-22.8978,-0.979981,8.433503,4.587639,0.03204,-0.015333,-0.006353,0
17.9,-10.5561,-3.7767,-23.502,-1.343809,8.456475,5.078885,-0.050396,0.001527,0.062339,0
18.0,-12.2938,-5.7304,-24.3081,-1.16686,8.166823,4.625206,-0.049144,0.13778,0.207633,0
18.1,-13.8239,-7.7745,-25.1397,-0.884268,8.34449,4.923233,-0.106688,0.239245,0.277149,0
18.2,-13.9405,-9.4095,-25.1649,-0.043909,8.070034,5.141458,-0.018815,0.14334,0.040531,0
18.3,-13.158,-10.7622,-24.8518,-0.822653,8.412805,4.529972,-0.000152,-0.063316,-0.200455,0
18.4,-11.4124,-11.8053,-24.0149,-1.224048,8.607103,4.815436,0.030177,-0.091294,-0.111574,0
18.5,-9.9775,-12.8287,-23.6477,-0.765823,8.006744,5.286104,-0.101953,0.036927,0.039523,0
18.6,-9.4197,-13.5165,-23.9664,-0.812004,8.274859,4.842953,-0.045785,-0.029596,-0.032437,0
18.7,-10.4516,-13.199,-25.0765,-1.305404,8.076135,4.216153,-0.107085,-0.14618,-0.056016,0
18.8,-14.3374,-10.6815,-27.0902,-1.263052,8.637492,5.898188,-0.030146,-0.036652,0.133168,0
18.9,-18.698,-7.9943,-29.1126,-1.361815,8.134999,4.020989,0.060399,0.193606,0.319673,0
19.0,-22.9741,-4.1541,-30.9938,-1.140898,8.240761,4.288177,0.070096,0.397368,0.470488,0
19.1,-27.1522,0.1173,-33.2055,-0.804826,9.373763,7.872147,0.034667,0.554696,0.451796,0
19.2,-30.3039,3.7138,-35.1293,0.465643,8.637492,8.341739,0.231182,0.308151,0.017349,0
19.3,-31.7225,6.4504,-36.1761,0.471027,7.741978,2.307877,0.391962,-0.093493,-0.509034,0
19.4,-31.2089,7.5959,-35.8235,-0.66353,7.950751,3.722873,0.172844,-0.196301,-0.477421,0
19.5,-29.8275,7.6187,-35.1847,-1.953501,9.489695,4.826443,0.031551,-0.281272,-0.37162,0
19.6,-27.623,6.8596,-34.3612,-1.655474,7.567421,4.141856,-0.279684,-0.194255,-0.06524,0
19.7,-25.9391,4.5042,-33.236,-1.361516,7.723074,4.018865,-0.290344,0.131244,0.268017,0
19.8,-23.6121,2.3621,-30.1172,-0.227797,7.371569,4.634179,-0.248469,0.240589,0.188696,0
19.9,-21.8108,-0.1186,-26.8255,-0.678844,8.390552,6.333562,-0.235061,-0.016768,-0.180144,0
20.0,-20.147,-2.2651,-24.1368,-0.822383,8.382955,6.188587,0.03417,-0.188643,-0.374728,0
20.1,-18.395,-4.2305,-22.7509,-0.684706,7.71458,6.225167,0.110811,-0.35644,-0.497672,0
20.2,-16.3713,-6.066,-22.3517,-1.139941,8.340064,5.293283,0.334968,-0.575343,-0.58362,0
20.3,-14.3293,-7.4645,-22.583,-1.798805,9.385967,3.95713,0.408363,-0.503994,-0.327668,0
20.4,-12.4181,-8.5501,-23.2892,-1.820579,8.290413,5.459584,0.099113,-0.195874,0.160261,0
20.5,-10.7347,-8.1458,-24.3094,-2.148037,8.42788,3.231387,-0.092516,0.090927,0.475894,0
20.6,-9.5529,-7.744,-26.0102,-1.359841,8.298189,6.058507,-0.11753,0.311999,0.592783,0
20.7,-9.0548,-8.1407,-26.8896,-0.521755,8.101619,4.597569,-0.028069,0.264718,0.347399,0
20.8,-7.8513,-8.4122,-25.3938,-0.462174,8.027082,5.989474,-0.041172,0.107756,0.091324,0
