Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
31.8,-1.1777,13.7071,-16.9162,0.178146,8.375238,5.125546,-0.050488,-0.033353,-0.153571,0
31.9,-2.2086,14.3652,-15.7008,-0.477667,8.632258,3.623481,0.089606,-0.157718,-0.28871,0
32.0,-3.3356,14.0427,-14.5544,-1.052483,8.600522,5.655197,-0.013195,-0.134451,-0.142576,0
32.1,-4.3056,12.8518,-13.495,-0.944567,8.120522,4.818307,0.009133,-0.034514,-0.006995,0
32.2,-4.8192,11.3587,-12.9995,-0.828156,8.396773,5.274618,0.07645,-0.04047,-0.018082,0
32.3,-4.8695,9.501,-13.2586,-0.707318,8.72794,4.324309,-0.005895,-0.083413,-0.028894,0
32.4,-4.441,7.451,-14.1399,-0.887737,8.334919,4.893681,0.000549,-0.057269,0.003574,0
32.5,-3.456,5.9807,-15.364,-0.917887,8.467003,4.339623,0.023121,0.000153,0.052229,0
32.6,-2.0777,4.5142,-16.6759,-0.084347,8.609735,5.30094,0.082772,0.049663,0.027061,0
32.7,-0.1766,3.7755,-18.168,-1.015155,8.300343,4.997291,-0.053542,0.012736,-0.052259,0
32.8,1.745,3.2617,-19.9107,-1.689452,8.365069,4.661338,-0.017013,-0.025412,-0.021319,0
32.9,3.6201,2.7398,-21.1492,-1.54023,8.588738,4.824678,0.010232,-0.040241,0.039821,0
33.0,4.371,1.9637,-21.6756,-0.619143,8.5614,5.124709,-0.023885,-0.020311,0.10067,0
33.1,4.2234,1.2575,-21.0389,-0.4733,8.605428,4.175595,0.063194,0.015027,0.052504,0
33.2,3.3092,1.6134,-19.717,-0.841197,8.533284,4.901817,-0.032223,0.025992,0.009835,0
33.3,-0.201,2.2299,-17.9289,-0.458465,8.283354,4.882196,0.042333,-0.028191,-0.044471,0
33.4,-4.407,2.7876,-15.7256,-0.575474,8.732128,6.124429,0.047037,-0.035369,-0.055192,0
33.5,-7.9703,4.3945,-14.1035,-0.887977,8.691569,4.049135,0.10513,-0.028039,-0.043096,0
33.6,-9.8665,5.9185,-13.2439,-0.771566,8.178668,3.80076,0.108428,-0.021594,-0.03204,0
33.7,-10.6109,7.2895,-13.2341,-0.965504,8.639765,4.476492,0.134391,0.002535,0.031093,0
33.8,-9.84,7.9109,-14.2969,-0.585165,8.43123,3.810211,0.001619,0.001069,0.027061,0
33.9,-7.8188,7.6152,-15.5271,-0.509432,8.289097,6.035775,-0.061422,0.025778,0.027855,0
34.0,-5.3096,6.5671,-17.1516,-0.887378,8.172446,4.337111,0.024618,0.033078,-0.035094,0
34.1,-2.7635,4.6394,-18.3587,-0.691376,8.363663,5.203193,0.033178,-0.119844,-0.17108,0
34.2,-0.8034,2.5643,-19.3752,-0.951745,8.541659,4.149633,-0.029383,-0.21817,-0.178892,0
